player_id,salary,team_code,HEIGHT,experience,AGE,PLAYER_SEASON_STATS_FG,PLAYER_SEASON_STATS_FGA,PLAYER_SEASON_STATS_FGP,PLAYER_SEASON_STATS_TRB,PLAYER_SEASON_STATS_PTS,num_pos
adrieje01,342666.0,GSW,197.5,3,28,23,54,0.426,58,57,1
alabiso01,770000.0,TOR,212.5,2,25,3,15,0.2,14,6,1
aldrico01,2126520.0,OKC,207.5,3,25,8,15,0.533,35,18,1
aldrila01,11244000.0,POR,207.5,7,28,707,1415,0.5,709,1769,2
aminual01,2563320.0,LAC,202.5,3,23,160,406,0.394,267,457,1
anderch01,4533300.0,DEN,205,11,35,82,137,0.599,219,250,2
anderja01,1361400.0,SAS,195,3,24,31,81,0.383,23,94,2
anthoca01,17149243.0,DEN,200,10,29,437,967,0.452,382,1259,2
anthojo01,3300000.0,MIA,202.5,6,31,53,99,0.535,266,153,2
asikom01,1721000.0,CHI,210,3,27,78,141,0.553,306,229,1
augusdj01,2540400.0,CHA,180,5,26,399,958,0.416,225,1178,1
babbilu01,1645440.0,POR,202.5,3,24,15,55,0.273,30,36,2
balkmre01,1675000.0,NYK,200,6,29,1,4,0.25,3,3,2
bareajo01,1815000.0,DAL,180,7,29,285,649,0.439,159,769,2
bargnan01,8500000.0,TOR,210,7,28,525,1173,0.448,343,1414,2
battish01,7354500.0,MEM,200,12,35,43,101,0.426,92,115,2
batumni01,1196760.0,POR,200,5,25,367,807,0.455,361,990,1
beaubro01,1156080.0,DAL,180,4,25,94,223,0.422,52,236,1
biedran01,9000000.0,GSW,207.5,9,27,142,266,0.534,426,294,1
blairde01,918000.0,SAS,197.5,4,24,292,583,0.501,565,674,1
blatcan01,5900000.0,WAS,207.5,8,27,426,957,0.445,526,1076,2
bledser01,1485000.0,LAC,182.5,3,24,206,486,0.424,223,543,1
bogutan01,11000000.0,MIL,210,8,29,367,742,0.495,720,830,2
booketr01,1204560.0,WAS,197.5,3,26,139,253,0.549,251,346,1
brackcr01,1306920.0,PHI,205,,,4,16,0.25,4,8,1
bradlav01,1418160.0,BOS,185,3,23,23,67,0.343,17,52,1
breweco01,3703472.0,MIN,202.5,6,27,168,437,0.384,152,483,2
brownde04,762195.0,CHA,197.5,,,62,113,0.549,84,151,1
bryanko01,24806250.0,LAL,195,17,35,740,1639,0.451,419,2078,1
budinch01,780871.0,HOU,197.5,4,25,279,656,0.425,281,765,1
bynuman01,13700000.0,LAL,210,7,26,237,413,0.574,508,612,1
bynumwi01,3250000.0,DET,180,6,31,182,406,0.448,74,482,1
caldejo01,9000000.0,TOR,187.5,8,32,262,596,0.44,202,669,2
carrode01,1085400.0,MEM,200,4,27,4,9,0.444,8,10,2
casspom01,1254480.0,SAC,202.5,4,25,225,546,0.412,307,610,2
chalmma01,854389.0,MIA,182.5,5,27,155,388,0.399,146,447,1
chandwi01,2130482.0,NYK,200,6,26,328,712,0.461,303,838,3
clarkea01,1898760.0,PHO,205,4,26,12,31,0.387,17,29,2
collini01,13250000.0,OKC,202.5,9,33,137,242,0.566,316,329,2
conlemi01,4913007.0,MEM,182.5,6,26,423,953,0.444,247,1107,1
couside01,3374640.0,SAC,207.5,3,23,432,1004,0.43,699,1143,1
crawfjo02,1042320.0,WAS,190,3,25,165,423,0.39,77,423,1
cunnida01,762195.0,POR,200,4,26,126,291,0.433,189,284,2
curryst01,2913840.0,GSW,187.5,4,25,505,1053,0.48,286,1373,1
davised01,1919160.0,TOR,205,3,24,215,373,0.576,462,501,2
davisgl01,3300000.0,BOS,202.5,6,28,359,801,0.448,425,915,2
dayeau01,1803720.0,DET,207.5,4,25,193,471,0.41,274,537,1
denglu01,11345000.0,CHI,200,9,28,531,1155,0.46,476,1430,1
derozde01,2453880.0,TOR,197.5,4,24,539,1154,0.467,315,1410,1
douglto01,1071000.0,NYK,185,4,27,314,755,0.416,244,856,2
dragigo01,1972000.0,PHO,190,5,27,133,316,0.421,86,353,2
duncati01,18700000.0,SAS,207.5,16,37,419,838,0.5,678,1022,2
duranke01,6053663.0,OKC,202.5,6,25,711,1538,0.462,533,2161,2
ebankde01,473604.0,LAL,202.5,3,24,21,51,0.412,27,62,2
ellinwa01,1078800.0,MIN,190,4,26,160,397,0.403,108,410,1
ellismo01,11000000.0,GSW,187.5,8,28,726,1611,0.451,281,1929,2
erdense01,473604.0,CLE,210,,,4,14,0.286,11,13,1
evansje01,473604.0,UTA,202.5,3,26,76,115,0.661,97,178,2
evansty01,3880920.0,SAC,195,4,24,382,933,0.409,275,1012,2
eyengch01,1020960.0,CLE,192.5,,,130,306,0.425,123,303,1
favorde01,4133280.0,UTA,205,3,22,74,140,0.529,115,180,1
fernaru01,1246680.0,POR,195,,,213,575,0.37,172,668,1
fesenky01,1087500.0,UTA,212.5,,,44,100,0.44,108,106,1
fieldla01,473604.0,NYK,197.5,3,25,299,602,0.497,521,797,2
fishede01,3700000.0,LAL,182.5,17,39,206,529,0.389,152,558,2
flynnjo01,3192000.0,MIN,180,,,108,296,0.365,77,279,1
forbega01,473604.0,DEN,197.5,2,28,124,273,0.454,116,326,2
fosteje01,6655000.0,IND,207.5,,,80,167,0.479,350,187,1
gallida01,3304560.0,NYK,205,5,25,211,509,0.415,229,764,3
garcifr01,5500000.0,SAC,197.5,8,32,207,475,0.436,133,560,2
gasolma01,3480000.0,MEM,212.5,5,29,364,691,0.527,569,951,1
gayru01,13603750.0,MEM,200,7,27,409,869,0.471,336,1069,1
geeal01,76219.0,CLE,195,4,26,108,234,0.462,157,297,2
geeal01,125538.0,CLE,195,4,26,108,234,0.462,157,297,2
geeal01,479735.0,CLE,195,4,26,108,234,0.462,157,297,2
georgpa01,2238360.0,IND,200,3,23,179,395,0.453,224,476,2
gibsoda01,4015334.0,CLE,185,7,27,264,660,0.4,177,780,2
gibsota01,1117680.0,CHI,202.5,4,28,234,502,0.466,458,569,1
ginobma01,11854584.0,SAS,195,11,36,441,1018,0.433,295,1393,1
gordoer01,3016680.0,LAC,187.5,5,25,427,949,0.45,164,1247,2
gortama01,6322320.0,ORL,207.5,6,29,44,81,0.543,118,100,2
grangda01,10973202.0,IND,200,8,30,535,1260,0.425,425,1622,1
greendo01,1116840.0,SAC,207.5,4,25,156,386,0.404,147,400,2
griffbl01,5357280.0,LAC,205,3,24,696,1376,0.506,989,1845,1
haddaha01,1600000.0,MEM,215,,,30,58,0.517,68,75,1
hansbty01,1998600.0,IND,202.5,4,28,285,613,0.465,366,767,1
haranlu01,473604.0,CLE,200,,,51,135,0.378,88,130,1
hardeja01,4304520.0,OKC,192.5,4,24,298,684,0.436,255,998,1
hasleud01,3500000.0,MIA,200,10,33,44,86,0.512,106,104,1
hayesch01,1972500.0,HOU,195,8,30,244,463,0.527,599,582,2
haywago01,2356320.0,UTA,200,3,23,142,293,0.485,139,388,1
haywala01,1020960.0,MIN,195,3,27,55,154,0.357,70,160,1
hendege02,2103840.0,CHA,192.5,4,26,259,570,0.454,207,653,1
henryxa01,2020200.0,MEM,195,3,22,65,160,0.406,37,165,2
hibbero01,1685280.0,IND,215,5,27,410,890,0.461,610,1025,1
hicksjj01,1528920.0,CLE,202.5,5,25,429,936,0.458,695,1105,2
hilarne01,11360000.0,DEN,207.5,11,31,402,654,0.615,571,1091,2
hillge01,1157160.0,SAS,185,5,27,287,633,0.453,199,884,1
hilljo01,2669520.0,HOU,205,4,26,173,352,0.491,306,406,2
holidjr01,1627920.0,PHI,187.5,4,23,446,999,0.446,332,1145,1
horfoal01,5444857.0,ATL,205,6,27,513,921,0.557,718,1178,1
howardw01,16647180.0,ORL,207.5,9,28,619,1044,0.593,1098,1784,2
ibakase01,1204200.0,OKC,205,4,24,335,617,0.543,622,808,1
iguodan01,12345250.0,PHI,195,9,30,338,759,0.445,387,945,2
ilyaser01,2320500.0,MIL,202.5,5,26,221,507,0.436,365,571,1
jamesda01,1156320.0,NJN,197.5,3,26,46,103,0.447,85,110,1
jennibr01,2331120.0,MIL,182.5,4,24,361,926,0.39,234,1019,1
johnsar02,473604.0,POR,187.5,,,46,101,0.455,36,110,1
johnsch03,27859.0,BOS,207.5,3,28,2,3,0.667,5,6,1
johnsch03,136509.0,BOS,207.5,3,28,2,3,0.667,5,6,1
johnsja01,1713600.0,CHI,202.5,4,26,17,41,0.415,24,42,2
johnswe01,3726600.0,MIN,197.5,3,26,271,682,0.397,240,709,2
jordade01,854389.0,LAC,207.5,5,25,234,341,0.686,575,566,1
kamanch01,11800000.0,LAC,210,10,31,177,376,0.471,225,397,1
kiddja01,8610500.0,DAL,190,,,215,596,0.361,351,630,2
lawsoty01,1546560.0,DEN,177.5,4,26,346,688,0.503,209,933,1
linje01,473604.0,GSW,187.5,3,25,28,72,0.389,34,76,1
lopezbr01,2413320.0,NJN,210,5,25,644,1309,0.492,488,1673,1
lopezro01,1867320.0,PHO,210,5,25,179,357,0.501,216,432,1
loveke01,3638280.0,MIN,205,5,25,482,1026,0.47,1112,1476,2
maxieja01,5000000.0,DET,197.5,8,30,93,189,0.492,173,237,2
maynoer01,1417800.0,OKC,187.5,4,26,134,333,0.402,121,348,2
mbahalu01,854389.0,MIL,200,5,27,198,428,0.463,420,529,2
mcgeeja01,1601040.0,WAS,210,5,26,332,604,0.55,634,798,1
meeksjo01,762195.0,PHI,190,4,26,242,570,0.425,171,774,1
milescj01,3700000.0,UTA,195,8,26,366,899,0.407,255,1000,3
millspa01,7600000.0,UTA,200,7,29,525,988,0.531,579,1315,1
millspa02,937195.0,POR,180,4,25,135,328,0.412,51,353,1
monrogr01,2798040.0,DET,207.5,3,23,303,550,0.551,601,751,2
mozgoti01,3567096.0,DEN,212.5,3,27,11,21,0.524,17,28,1
mulleby01,1204200.0,OKC,210,4,24,9,28,0.321,24,25,2
nashst01,10310938.0,PHO,187.5,17,40,399,811,0.492,260,1106,1
nealga01,525000.0,SAS,190,3,29,285,632,0.451,196,783,1
nelsoja01,7800000.0,ORL,180,9,32,374,838,0.446,226,997,1
noahjo01,3128536.0,CHI,207.5,6,28,211,402,0.525,498,561,1
nowitdi01,17278618.0,DAL,210,15,35,610,1179,0.517,513,1681,2
owensla01,55718.0,SAS,197.5,,,3,6,0.5,4,9,1
parketo01,13500000.0,SAS,185,12,31,555,1069,0.519,238,1368,1
pattepa01,1823280.0,HOU,202.5,3,24,149,267,0.558,200,328,1
paulch01,14940153.0,NOH,180,8,28,430,928,0.463,327,1268,1
pekovni01,4000000.0,MIN,207.5,3,28,136,263,0.517,193,359,1
piercpa01,13876321.0,BOS,195,15,36,507,1021,0.497,430,1511,2
pittmde01,473604.0,MIA,207.5,3,25,1,3,0.333,3,2,1
pondequ01,1073280.0,NOH,195,3,25,73,180,0.406,88,188,2
priceaj01,762195.0,IND,185,4,27,114,320,0.356,72,323,2
princta01,11148760.0,DET,202.5,11,33,473,1001,0.473,329,1098,1
reddmi01,18300000.0,MIL,195,,,18,45,0.4,8,44,2
redicjj01,7250000.0,ORL,190,7,29,197,447,0.441,113,593,2
rondora01,9090911.0,BOS,182.5,7,27,318,670,0.475,297,721,1
rosede01,5546160.0,CHI,187.5,4,25,711,1597,0.445,330,2026,1
rushbr01,2069049.0,IND,195,5,28,217,515,0.421,217,607,2
samuesa01,500000.0,CLE,202.5,,,110,241,0.456,158,288,2
sandela01,1731960.0,MIL,207.5,3,25,116,268,0.433,178,260,2
scolalu01,7775378.0,HOU,202.5,6,33,569,1129,0.504,606,1352,1
serapke01,1563120.0,WAS,202.5,3,24,66,147,0.449,152,154,2
smithis01,473604.0,MEM,180,3,25,11,32,0.344,5,27,1
smithjo03,11600000.0,ATL,202.5,9,28,497,1041,0.477,657,1274,2
speigma01,1773960.0,PHI,205,5,26,144,291,0.495,210,344,2
splitti01,3400000.0,SAS,207.5,3,29,101,191,0.529,201,278,2
stephla01,750000.0,IND,192.5,3,23,13,39,0.333,18,37,1
stuckro01,2767126.0,DET,192.5,6,27,363,827,0.439,216,1082,2
summeda01,762195.0,DET,200,4,26,28,69,0.406,12,74,2
teaguje01,1476840.0,ATL,185,4,25,133,304,0.438,102,361,1
thabeha01,4793280.0,MEM,217.5,4,26,17,39,0.436,75,53,1
thompja02,2178000.0,SAC,207.5,5,27,271,534,0.507,454,663,2
thornma01,762195.0,NOH,190,4,26,137,334,0.41,131,359,1
turneev01,4602720.0,PHI,197.5,3,25,225,529,0.425,306,565,2
udohek01,3065040.0,GSW,205,3,26,97,222,0.437,181,236,2
uzohbe01,473604.0,NJN,187.5,,,61,144,0.424,61,158,1
varejan01,7281818.0,CLE,205,9,31,114,216,0.528,301,282,2
vasqugr01,1035960.0,MEM,195,3,27,95,233,0.408,73,249,2
wadedw01,14200000.0,MIA,190,10,32,692,1384,0.5,485,1941,2
walljo01,5144280.0,WAS,190,3,23,398,972,0.409,317,1131,1
waltolu01,5260000.0,LAL,200,10,33,38,116,0.328,67,91,2
westbru01,4017720.0,OKC,187.5,5,25,614,1390,0.442,379,1793,1
westda01,8287500.0,NOH,202.5,10,33,528,1040,0.508,529,1322,2
westde01,1069509.0,BOS,190,,,55,120,0.458,37,135,2
whitedj01,1108680.0,OKC,202.5,5,27,30,65,0.462,52,65,2
whiteha01,730437.0,SAC,210,,,0,0,0,0,0,1
willide01,14940152.0,UTA,187.5,8,29,369,806,0.458,205,1129,1
willilo02,5000000.0,PHI,185,8,27,323,795,0.406,149,1027,2
willima02,6712500.0,ATL,202.5,8,27,246,537,0.458,313,676,2
willire02,762195.0,GSW,195,4,27,268,572,0.469,216,738,3
willite01,2214480.0,NJN,195,,,29,73,0.397,36,67,2
wrighbr03,3398072.0,GSW,202.5,5,26,38,63,0.603,41,83,3
youngni01,2630503.0,WAS,195,6,28,412,935,0.441,174,1115,1
youngsa01,886000.0,MEM,195,4,28,233,494,0.472,187,572,2
youngth01,2901241.0,PHI,200,6,25,458,847,0.541,434,1045,1
